"","phrase","coefficient"
"1930","argu left",0
"1931","argu reg",0
"1932","argument domest",0
"1933","argument necessarili",0
"1934","arizona violent",0
"1935","arizonaour plan",0
"1936","armi 65000",0
"1937","armi andreform",0
"1938","armi fire",0
"1939","armi flexibl",0
"1940","around 358",0
"1941","around 528",0
"1942","around currenc",0
"1943","around globesinc",0
"1944","around nationpresid",0
"1945","around risk",0
"1946","around student",0
"1947","arrang bad",0
"1948","arrest 28illeg",0
"1949","arsenal serv",0
"1950","art pope",0
"1951","arthur art",0
"1952","articl billionair",0
"1953","articl recogn",0
"1954","asa deputi",0
"1955","asiaredirect major",0
"1956","asid often",0
"1957","ask smaller",0
"1958","asset revenu",0
"1959","assist 13",0
"1960","assist mpi",0
"1961","associ opioid",0
"1962","assum gas",0
"1963","assumpt uncertainti",0
"1964","assur campaign",0
"1965","assur score",0
"1966","attacksinterest strategi",0
"1967","attacksperpetr hama",0
"1968","attain mileston",0
"1969","attende similar",0
"1970","attent military",0
"1971","attent speech",0
"1972","attentiona congress",0
"1973","attract higherqu",0
"1974","attract highest",0
"1975","attribut reform",0
"1976","atwww kenan",0
"1977","august hayek",0
"1978","author 10000",0
"1979","author expiresunless",0
"1980","author swift",0
"1981","authorit debunk",0
"1982","authorit govern",0
"1983","automat renew",0
"1984","avail galleri",0
"1985","avail voucher",0
"1986","avenu takeov",0
"1987","averag becom",0
"1988","averag screen",0
"1989","avers exact",0
"1990","avictori rather",0
"1991","avoid headlin",0
"1992","avoid hous",0
"1993","avoid messi",0
"1994","avoid messydeb",0
"1995","avoluntari program",0
"1996","await regul",0
"1997","award discrimin",0
"1998","away neverend",0
"1999","back iraniran",0
"2000","backer jess",0
"2001","background7 certain",0
"2002","backlashprovid domest",0
"2003","backward toughoncrim",0
"2004","bad intellig",0
"2005","bad politicsth",0
"2006","bad scath",0
"2007","baghdad disband",0
"2008","bailout amid",0
"2009","balanc fox",0
"2010","balanc iranian",0
"2011","balanc policymak",0
"2012","balloon number",0
"2013","baltimor newli",0
"2014","band atlanta",0
"2015","barnburn speech",0
"2016","barrier treatment",0
"2017","base lobbi",0
"2018","base studies12",0
"2019","battlefield caution",0
"2020","bca oppon",0
"2021","beacon smartphon",0
"2022","beck spoke",0
"2023","becom amnesti",0
"2024","bed fellow",0
"2025","beenincreas threaten",0
"2026","begin pilotleas",0
"2027","begin rejoin",0
"2028","behalf bishop",0
"2029","behalf giant",0
"2030","behalf outofwork",0
"2031","behavior mental",0
"2032","believ champion",0
"2033","bell fcc",0
"2034","benefit civic",0
"2035","benefit host",0
"2036","benefit howard",0
"2037","benefit infus",0
"2038","benefitsconserv argu",0
"2039","benefitsin mani",0
"2040","benefitsmedicaid also",0
"2041","benefitsmichael guest",0
"2042","benefitthat insur",0
"2043","benjamin wright",0
"2044","beret give",0
"2045","beth migrat",0
"2046","betop prioritiesmiddl",0
"2047","better wellinspect",0
"2048","beyond california",0
"2049","beyond lip",0
"2050","beyond procur",0
"2051","biblic tenetth",0
"2052","big achiev",0
"2053","big lot",0
"2054","biggest moral",0
"2055","bill lest",0
"2056","bill obamun",0
"2057","billhardwork famili",0
"2058","billion 2007an",0
"2059","billion subprim",0
"2060","billionair presid",0
"2061","billionspotenti trillionsof",0
"2062","bio say",0
"2063","bipartisan anti",0
"2064","bipartisan expans",0
"2065","birth sweden",0
"2066","birther sign",0
"2067","bishop 2006",0
"2068","bishop offic",0
"2069","bit excruci",0
"2070","bite mislead",0
"2071","bite second",0
"2072","bizarr unless",0
"2073","blameless kid",0
"2074","blameless lowincom",0
"2075","bless virgin",0
"2076","block refund",0
"2077","board chenier",0
"2078","bodi profit",0
"2079","bomber time",0
"2080","book sam",0
"2081","bookkeep market",0
"2082","booksher one",0
"2083","boomer crowd",0
"2084","border andcontinu",0
"2085","border andprev",0
"2086","border crimin",0
"2087","border dhs",0
"2088","born grow",0
"2089","borrow resid",0
"2090","borrow see",0
"2091","borrow spent",0
"2092","borrower locat",0
"2093","borrower person",0
"2094","borrower total",0
"2095","bothsid grow",0
"2096","bottega veneta",0
"2097","bottom raid",0
"2098","bought secretari",0
"2099","boundari tradit",0
"2100","bridg academ",0
"2101","brief hhs",0
"2102","briefingroom 2",0
"2103","brightest cost",0
"2104","brill kevin",0
"2105","bring homeaccord",0
"2106","broad add",0
"2107","broad distrust",0
"2108","broad ever",0
"2109","broader seen",0
"2110","broader transnat",0
"2111","broadest anyon",0
"2112","brother conspiraci",0
"2113","brother john",0
"2114","brought profit",0
"2115","brownfield nicola",0
"2116","brunt opioid",0
"2117","bryce charg",0
"2118","budget 5143",0
"2119","budget illeg",0
"2120","budget worst",0
"2121","budgetcancel v22",0
"2122","buffett concert",0
"2123","bungl idea",0
"2124","burden ill",0
"2125","bush gloss",0
"2126","bush scuttl",0
"2127","businessesfurthermor shayl",0
"2128","bust someth",0
"2129","buy lobbi",0
"2130","buzzsaw courtesi",0
"2131","cabinet princip",0
"2132","cadillac citibank",0
"2133","calib suffic",0
"2134","calif whose",0
"2135","california ampl",0
"2136","california exceed",0
"2137","california investorown",0
"2138","california kentucki",0
"2139","california municip",0
"2140","california next",0
"2141","california kamala",0
"2142","call authorit",0
"2143","call demis",0
"2144","call face",0
"2145","call formor",0
"2146","call friday",0
"2147","calm remov",0
"2148","calo predict",0
"2149","camera today",0
"2150","campaign bungl",0
"2151","campaign slogana",0
"2152","can astound",0
"2153","can glad",0
"2154","can round",0
"2155","cancel notic",0
"2156","canopi xe",0
"2157","cap chart",0
"2158","cap didn t",0
"2159","cap go",0
"2160","cap leftist",0
"2161","cap paper",0
"2162","cap er tri",0
"2163","capac civic",0
"2164","carbon futur",0
"2165","care undocu",0
"2166","carewhich threatth",0
"2167","caricatur mani",0
"2168","carol keeton",0
"2169","carolina david",0
"2170","carvedout major",0
"2171","case mccain",0
"2172","cataclysm great",0
"2173","catalyst law",0
"2174","cathol identifi",0
"2175","cato 1997",0
"2176","caucus state",0
"2177","caus set",0
"2178","caution last",0
"2179","centuryfocus iraqpresid",0
"2180","certain judgment",0
"2181","chamber intellig",0
"2182","charon member",0
"2183","childhood direct",0
"2184","children matterednot",0
"2185","childrensen financ",0
"2186","citi contribut",0
"2187","citizen havevolunt",0
"2188","citizenship yet",0
"2189","clear 2007",0
"2190","clear distinctionbetween",0
"2191","client improv",0
"2192","closest celesti",0
"2193","cloudi human",0
"2194","cnet declan",0
"2195","coalit militaryoperationswhat",0
"2196","cold technolog",0
"2197","comment cia",0
"2198","committe understand",0
"2199","communic committe",0
"2200","communityof nation",0
"2201","complain term",0
"2202","completinghuman initi",0
"2203","composit perfect",0
"2204","concern nyc",0
"2205","conclus analyz",0
"2206","conflat small",0
"2207","conflict beginningship",0
"2208","congressth latest",0
"2209","connect 100",0
"2210","connect dad",0
"2211","connect suppli",0
"2212","consequ actionsa",0
"2213","consequ restrict",0
"2214","consid hypersegreg",0
"2215","considerationsvouch accept",0
"2216","constitut rightsexodus",0
"2217","constrain signific",0
"2218","contradict fundament",0
"2219","contrast frequent",0
"2220","contribut index",0
"2221","contribut segreg",0
"2222","contribut segregationhow",0
"2223","control 85",0
"2224","control tester",0
"2225","corner univers",0
"2226","corp grew",0
"2227","corpsth evalu",0
"2228","cost evalu",0
"2229","counsel trade",0
"2230","count look",0
"2231","counterpart nasa",0
"2232","crash mar",0
"2233","credibleth conflat",0
"2234","credit land",0
"2235","credita name",0
"2236","crise strengthen",0
"2237","crisi pledg",0
"2238","critic biofuel",0
"2239","critic document",0
"2240","critic isolationist",0
"2241","critic opioid",0
"2242","crocker forc",0
"2243","cross interstellar",0
"2244","crowd classroom",0
"2245","d kasarda",0
"2246","danger manifest",0
"2247","data earth",0
"2248","datadriven strategi",0
"2249","dc 15",0
"2250","dc overviewh",0
"2251","deadlock whether",0
"2252","death 2015medicaid",0
"2253","deborah taylor",0
"2254","debtdefault like",0
"2255","decid beyond",0
"2256","decid voucher",0
"2257","declar freed",0
"2258","declin ruin",0
"2259","defens groundin",0
"2260","deficitth new",0
"2261","delic watch",0
"2262","deliv critic",0
"2263","deliv primarili",0
"2264","democraci squelch",0
"2265","demograph downshift",0
"2266","demograph groupsjust",0
"2267","deni sizabl",0
"2268","denial attorney",0
"2269","denial ratesmor",0
"2270","depend landlordslandlord",0
"2271","deport expand",0
"2272","depress famili",0
"2273","detail instrument",0
"2274","detail suggest",0
"2275","devolv hand",0
"2276","didit new",0
"2277","direct fccs",0
"2278","discharg otherwis",0
"2279","discourag repaymentfocus",0
"2280","discov britain",0
"2281","discrimin date",0
"2282","discrimin voucher",0
"2283","discriminationw found",0
"2284","discuss tangibl",0
"2285","disincent landlord",0
"2286","disproport serv",0
"2287","disproportion hold",0
"2288","divert gospel",0
"2289","document liter",0
"2290","doj renew",0
"2291","download share",0
"2292","e wolginimmigr",0
"2293","earli explor",0
"2294","earlier yearno",0
"2295","earth closest",0
"2296","earth six",0
"2297","easi bill",0
"2298","econom selfdefeatingth",0
"2299","economi aggress",0
"2300","economi reput",0
"2301","economi urg",0
"2302","editor proclaim",0
"2303","educ digest",0
"2304","educ pipelin",0
"2305","effect datadriven",0
"2306","effect enhanc",0
"2307","effort main",0
"2308","effort nextpresidentjam",0
"2309","effortswhich soon",0
"2310","elderlybut wouldnt",0
"2311","elig award",0
"2312","elsewher enter",0
"2313","embarrass organ",0
"2314","embodi observ",0
"2315","employ middl",0
"2316","encount pluto",0
"2317","encount saturn",0
"2318","encourag landlord",0
"2319","end resembl",0
"2320","enforc divert",0
"2321","engag nyc",0
"2322","engin bookkeep",0
"2323","enough inperson",0
"2324","enrol federalst",0
"2325","enrol remov",0
"2326","enrol share",0
"2327","environ inhospit",0
"2328","equiti may",0
"2329","equiti older",0
"2330","erudit sever",0
"2331","escal eros",0
"2332","evalu congression",0
"2333","even annuit",0
"2334","even voyag",0
"2335","event transcript",0
"2336","exacerb segreg",0
"2337","examin home",0
"2338","exampl field",0
"2339","except voucher",0
"2340","expect amount",0
"2341","expect moveand",0
"2342","expensiveantiretrovir drug",0
"2343","experi 17",0
"2344","experienc widen",0
"2345","explor american",0
"2346","explor celesti",0
"2347","explor earth",0
"2348","explor eight",0
"2349","explor pluto",0
"2350","extend search",0
"2351","extens mobil",0
"2352","extent discriminationw",0
"2353","extremist good",0
"2354","face 126",0
"2355","face acknowledg",0
"2356","face frequent",0
"2357","facilit voucher",0
"2358","fact sheetsdo",0
"2359","facto selfinsur",0
"2360","factor electionfailur",0
"2361","fail 2003",0
"2362","familiesread long",0
"2363","far onlycountri",0
"2364","feet still",0
"2365","fellow obvious",0
"2366","formid hurdl",0
"2367","formulari institut",0
"2368","forward 190",0
"2369","forwardpass law",0
"2370","frenzi us",0
"2371","fund kept",0
"2372","gather extraordinarili",0
"2373","gay longer",0
"2374","giant telephon",0
"2375","give christian",0
"2376","glean littl",0
"2377","global al",0
"2378","go weigh",0
"2379","gospel gospel",0
"2380","gospel transcend",0
"2381","govern tough",0
"2382","grandfath greatgrandfath",0
"2383","great optim",0
"2384","greater area",0
"2385","greatgrandfath uncl",0
"2386","ground obstacl",0
"2387","groupsjust progress",0
"2388","half 450",0
"2389","halpin karl",0
"2390","hand white",0
"2391","happen segreg",0
"2392","hard father",0
"2393","harsh ideolog",0
"2394","hawaii chair",0
"2395","hcv program",0
"2396","hcvspecif polici",0
"2397","headquart thousand",0
"2398","health later",0
"2399","health set",0
"2400","healthth report",0
"2401","hearsay evidencether",0
"2402","heart diseaseth",0
"2403","hearten cultur",0
"2404","help wait",0
"2405","helpencourag landlord",0
"2406","heredespit decad",0
"2407","high wageschalleng",0
"2408","higher certain",0
"2409","higher lowerpoverti",0
"2410","highest fort",0
"2411","highestne borrow",0
"2412","highrank terrorist",0
"2413","highrent marketsexpand",0
"2414","highwag employ",0
"2415","hispan nonwhit",0
"2416","hispanicour segreg",0
"2417","histori greater",0
"2418","hit multipl",0
"2419","home redeploy",0
"2420","honest arm",0
"2421","honest compromis",0
"2422","honor integritylast",0
"2423","horizon seem",0
"2424","hostettl rindiana",0
"2425","hotel low",0
"2426","hous congressth",0
"2427","household abil",0
"2428","howev commission",0
"2429","howev landlord",0
"2430","howev overreact",0
"2431","hud conduct",0
"2432","human counterpart",0
"2433","human spaceflightfor",0
"2434","humanmad object",0
"2435","hypersegreg simpli",0
"2436","ici jovian",0
"2437","identifi 8735",0
"2438","identifi landlord",0
"2439","ideolog deliv",0
"2440","ideolog ralli",0
"2441","ideolog senat",0
"2442","ideologymov forwardpass",0
"2443","ignor intens",0
"2444","illeg landlord",0
"2445","illeg shipment",0
"2446","imagin health",0
"2447","impact draw",0
"2448","implic plan",0
"2449","impuls strong",0
"2450","inabl move",0
"2451","inc mcdowel",0
"2452","incarcer shift",0
"2453","incid pandem",0
"2454","includ rover",0
"2455","includenyc civic",0
"2456","incom 110th",0
"2457","index perfect",0
"2458","inflationbut increas",0
"2459","inner solar",0
"2460","insight mar",0
"2461","instead actual",0
"2462","instrument mechan",0
"2463","integr effortswhich",0
"2464","integr help",0
"2465","integrateth index",0
"2466","intellig broken",0
"2467","intend retriev",0
"2468","intent shed",0
"2469","interstellar space",0
"2470","introduc npr",0
"2471","iran judgment",0
"2472","iraq difficult",0
"2473","iraqfin bush",0
"2474","issuessinc initi",0
"2475","item navi",0
"2476","itread reportsnew",0
"2477","jeremi scahil",0
"2478","john hostettl",0
"2479","john toni",0
"2480","judg establish",0
"2481","kind bipartisan",0
"2482","land nasa",0
"2483","land robot",0
"2484","land spacecraft",0
"2485","landlord behavior",0
"2486","landlord differenti",0
"2487","landlord need",0
"2488","landlord particip",0
"2489","largest rental",0
"2490","last unexplor",0
"2491","later marin",0
"2492","launch 22",0
"2493","law mattersfor",0
"2494","lay agenda",0
"2495","lead respect",0
"2496","lead robot",0
"2497","leader certificationnow",0
"2498","leadership robot",0
"2499","led explor",0
"2500","lessabov two",0
"2501","light default",0
"2502","like match",0
"2503","like nondefault",0
"2504","listthi attempt",0
"2505","lobbi incom",0
"2506","local negoti",0
"2507","longawait bad",0
"2508","lower newark",0
"2509","lowerpoverti neighborhood",0
"2510","made upfront",0
"2511","magazine jeremi",0
"2512","major minorityparti",0
"2513","major violenc",0
"2514","make hcv",0
"2515","manag adopt",0
"2516","manag volunteersnyc",0
"2517","manag volunteersth",0
"2518","mani rank",0
"2519","manifest terrorist",0
"2520","mar 1999continu",0
"2521","mar land",0
"2522","mar lander",0
"2523","marin 10",0
"2524","marin conserv",0
"2525","marketexperi suggest",0
"2526","marketsexpand search",0
"2527","martian orbit",0
"2528","martin babi",0
"2529","match characterist",0
"2530","matterednot ideolog",0
"2531","mattersfor famili",0
"2532","mayb thought",0
"2533","mayor recogn",0
"2534","mcdonough charl",0
"2535","mcdowel agre",0
"2536","meanwhil becam",0
"2537","mechan conduct",0
"2538","medicar list",0
"2539","medicinerepublican democrat",0
"2540","meet landlord",0
"2541","member evalu",0
"2542","membership aqi",0
"2543","meme promot",0
"2544","men boast",0
"2545","mercuri 1974explor",0
"2546","mercuri venus",0
"2547","mere oversight",0
"2548","merger martin",0
"2549","met test",0
"2550","might helpencourag",0
"2551","mile juli",0
"2552","mile surfac",0
"2553","militia compunct",0
"2554","million clarifi",0
"2555","million moreschip",0
"2556","mine believ",0
"2557","minorityparti committe",0
"2558","misplac high",0
"2559","mission cant",0
"2560","mission en",0
"2561","mission mercuri",0
"2562","model aim",0
"2563","modelth new",0
"2564","moment increas",0
"2565","moon europa",0
"2566","morecompetit rent",0
"2567","morn homemad",0
"2568","moseman panel",0
"2569","move anywher",0
"2570","multiphas approach",0
"2571","murder discourag",0
"2572","nasa juno",0
"2573","nation securitythat",0
"2574","nation shahawar",0
"2575","naviesto adequ",0
"2576","nazi persecut",0
"2577","near relat",0
"2578","need knowdril",0
"2579","neighbor increasesupport",0
"2580","neighbor took",0
"2581","neighborhood hud",0
"2582","neighborhood suggest",0
"2583","neighborsamerica led",0
"2584","neptuneth unit",0
"2585","new demographi",0
"2586","new geographi",0
"2587","new jerseydo",0
"2588","newark 31",0
"2589","next success",0
"2590","nie state",0
"2591","nigerian abdul",0
"2592","nook small",0
"2593","notabl pattern",0
"2594","note king",0
"2595","noth lessabov",0
"2596","noth truthth",0
"2597","now solemn",0
"2598","nowban countri",0
"2599","number half",0
"2600","number immin",0
"2601","number lowrank",0
"2602","numer advertis",0
"2603","nyc civic",0
"2604","nyc provid",0
"2605","object orbit",0
"2606","obstacl foreign",0
"2607","obvious cherrypick",0
"2608","obvious learn",0
"2609","occas underestim",0
"2610","odom april",0
"2611","offer despit",0
"2612","oil jordan",0
"2613","oil properti",0
"2614","oilrich state",0
"2615","onboard usbound",0
"2616","one asteroid",0
"2617","one cassini",0
"2618","oper t",0
"2619","oppon determin",0
"2620","opportun 2004",0
"2621","opportun curios",0
"2622","optim fcc",0
"2623","order heartili",0
"2624","organ harsh",0
"2625","organ nyc",0
"2626","origin land",0
"2627","ouster abdullah",0
"2628","outcri bush",0
"2629","outer solar",0
"2630","outgo chairman",0
"2631","outrag local",0
"2632","outweigh benefitsin",0
"2633","overal sunni",0
"2634","overflight navig",0
"2635","overreact real",0
"2636","oversamplingfor nation",0
"2637","overviewh voucher",0
"2638","pair test",0
"2639","pakistan feder",0
"2640","pakistan prod",0
"2641","pandem bush",0
"2642","paramet local",0
"2643","part vision",0
"2644","particip access",0
"2645","particip determin",0
"2646","particip recruit",0
"2647","particular lowpoverti",0
"2648","partner track",0
"2649","partnershipsalmost nyc",0
"2650","past mercuri",0
"2651","past pluto",0
"2652","past venus",0
"2653","path iran",0
"2654","pathfind lander",0
"2655","pattern landlord",0
"2656","pennsylvaniado landlord",0
"2657","peopleaqi certain",0
"2658","percent aqi",0
"2659","percent martin",0
"2660","percept programthi",0
"2661","pernici argument",0
"2662","personnel tri",0
"2663","pervers iron",0
"2664","petraeus cite",0
"2665","phd columbia",0
"2666","pillar reconstruct",0
"2667","pilot study",0
"2668","pioneer 10",0
"2669","pioneer 11",0
"2670","pkk northern",0
"2671","planet enter",0
"2672","planet flew",0
"2673","planet less",0
"2674","planet pluto",0
"2675","play soon",0
"2676","ploy alter",0
"2677","pluto charon",0
"2678","pluto moon",0
"2679","pluto neighborhood",0
"2680","point electionchristian",0
"2681","pointsupport current",0
"2682","polar lander",0
"2683","polici environmentalist",0
"2684","policya sensibl",0
"2685","policyspecif data",0
"2686","pollut origin",0
"2687","popul reinvest",0
"2688","portray look",0
"2689","powera survey",0
"2690","preced cancel",0
"2691","precedentwith limit",0
"2692","prerog reform",0
"2693","present iraq",0
"2694","presid vagu",0
"2695","presum militari",0
"2696","preval extent",0
"2697","previous 2002",0
"2698","price discuss",0
"2699","pride come",0
"2700","principl faith",0
"2701","prioriti compet",0
"2702","prison growth",0
"2703","probe continu",0
"2704","procedur volunt",0
"2705","proceed regard",0
"2706","procur 2007",0
"2707","procur higher",0
"2708","procur near",0
"2709","procur spendingwher",0
"2710","procurementbut damn",0
"2711","prod conserv",0
"2712","product 2040arctic",0
"2713","program connect",0
"2714","program disproport",0
"2715","progress americainteract",0
"2716","progress swell",0
"2717","prolifer advisor",0
"2718","promot reintegr",0
"2719","promulg conservativesthat",0
"2720","propon revenu",0
"2721","propon still",0
"2722","protest indic",0
"2723","protract involv",0
"2724","prove economicalth",0
"2725","provid consent",0
"2726","provis ace",0
"2727","public forumeven",0
"2728","public landsth",0
"2729","public toward",0
"2730","punch didit",0
"2731","put bell",0
"2732","put februari",0
"2733","quantiti simpler",0
"2734","quiz progress",0
"2735","raisedmor import",0
"2736","rak lead",0
"2737","reach landlord",0
"2738","rebel shia",0
"2739","recent rover",0
"2740","recidiv control",0
"2741","recommend policymakerspursu",0
"2742","reconnaiss inner",0
"2743","redeploy iraqeven",0
"2744","refer array",0
"2745","reform cabl",0
"2746","reform telecommun",0
"2747","reg bite",0
"2748","region opioid",0
"2749","regulatori noth",0
"2750","rehm show",0
"2751","relationship proprogress",0
"2752","relev prolifer",0
"2753","religionar compromis",0
"2754","remedi local",0
"2755","renegoti 13",0
"2756","reopen first",0
"2757","replac transport",0
"2758","reporta pilot",0
"2759","reportsnew progress",0
"2760","repres nlc",0
"2761","repres upfront",0
"2762","republican commiss",0
"2763","requir sift",0
"2764","research landlord",0
"2765","researcheconom treati",0
"2766","reservealaska npra",0
"2767","resourceswhil unit",0
"2768","respect 21",0
"2769","respect airpow",0
"2770","restraint dead",0
"2771","ret lt",0
"2772","retain 6000",0
"2773","retent concern",0
"2774","rethink heavi",0
"2775","retir 1988",0
"2776","retool next",0
"2777","retributionin realiti",0
"2778","retriev sampl",0
"2779","retroact provid",0
"2780","return januaryon",0
"2781","reveal nyc",0
"2782","review detail",0
"2783","review inouy",0
"2784","rich public",0
"2785","right continent",0
"2786","rigor pairedtest",0
"2787","rise significantlyasid",0
"2788","risk climat",0
"2789","robust multiphas",0
"2790","rtn refus",0
"2791","rug afghanistanpakistan",0
"2792","rule lawh",0
"2793","rural communitiesfor",0
"2794","rural workforc",0
"2795","ruy teixeirath",0
"2796","rwi avail",0
"2797","save defer",0
"2798","say typic",0
"2799","scandalth war",0
"2800","sea greatest",0
"2801","section success",0
"2802","secur navi",0
"2803","secur ratificationth",0
"2804","seen local",0
"2805","selfcent polit",0
"2806","senat count",0
"2807","sens christian",0
"2808","sensibl path",0
"2809","sent lowlevel",0
"2810","sentenc ad",0
"2811","serv 34",0
"2812","serv aveng",0
"2813","serv soldiersth",0
"2814","servic civic",0
"2815","servic welltodo",0
"2816","seven occas",0
"2817","seven statement",0
"2818","sever call",0
"2819","shame languish",0
"2820","shape end",0
"2821","sheetsdo landlord",0
"2822","sheik muham",0
"2823","ship hms",0
"2824","ship lanesa",0
"2825","shore given",0
"2826","shouldnt bush",0
"2827","show avail",0
"2828","show landlord",0
"2829","show npr",0
"2830","shut uptod",0
"2831","sick elderlybut",0
"2832","sift 341000",0
"2833","sign 155",0
"2834","significantlyasid obvious",0
"2835","sinc marin",0
"2836","sinceth closest",0
"2837","site appreci",0
"2838","site glean",0
"2839","site signific",0
"2840","six threeandahalf",0
"2841","skill volunt",0
"2842","slap suprem",0
"2843","slate launch",0
"2844","slip lastminuteoftheyear",0
"2845","small weaken",0
"2846","smartoncrim call",0
"2847","smash agreement",0
"2848","soar prison",0
"2849","sojourn short",0
"2850","soldier interrog",0
"2851","soldier signific",0
"2852","soldiersth law",0
"2853","sole access",0
"2854","solid midwest",0
"2855","somewhat prematur",0
"2856","soon confirm",0
"2857","sought answer",0
"2858","sourceofincom protect",0
"2859","south deal",0
"2860","soviet affair",0
"2861","spring 100",0
"2862","squander addit",0
"2863","squelch minor",0
"2864","stakehold jri",0
"2865","standard imposs",0
"2866","startedthi may",0
"2867","stood landlord",0
"2868","stop aqi",0
"2869","storm adap",0
"2870","strateg enemi",0
"2871","strategi advers",0
"2872","strategi jri",0
"2873","strategi outcom",0
"2874","strategi page",0
"2875","strong catalyst",0
"2876","strong reserv",0
"2877","studi landlord",0
"2878","studi voucherhold",0
"2879","subsequ save",0
"2880","support modelth",0
"2881","suspect deliv",0
"2882","swift confound",0
"2883","switzerland west",0
"2884","system kuiper",0
"2885","system marin",0
"2886","systembi explor",0
"2887","systemlevel trend",0
"2888","taught west",0
"2889","team sift",0
"2890","technolog antimissil",0
"2891","teixeirath state",0
"2892","telephon test",0
"2893","tenet judg",0
"2894","terrorist suspectsth",0
"2895","test 16",0
"2896","theolog fundament",0
"2897","theori terror",0
"2898","theori voucher",0
"2899","thereaft four",0
"2900","though didnt",0
"2901","thousand vulner",0
"2902","tie gospel",0
"2903","tighten adap",0
"2904","time 1970s",0
"2905","time fifth",0
"2906","today conflat",0
"2907","total upfront",0
"2908","touch red",0
"2909","transnat al",0
"2910","transport face",0
"2911","treatment outrag",0
"2912","treatment pair",0
"2913","trend studi",0
"2914","trial soon",0
"2915","truck mine",0
"2916","true lawrenc",0
"2917","trust formal",0
"2918","two vike",0
"2919","ugli fiscal",0
"2920","unaccept american",0
"2921","unexplor nook",0
"2922","unexplor region",0
"2923","unnatur alli",0
"2924","upgrad age",0
"2925","use datadriven",0
"2926","use multiphas",0
"2927","valu page",0
"2928","vast live",0
"2929","veer trackthi",0
"2930","vehicl hmmwv",0
"2931","venus 1962",0
"2932","venus mar",0
"2933","verdictrep ryan",0
"2934","vessel advanc",0
"2935","videointro deni",0
"2936","view avail",0
"2937","view event",0
"2938","vigil critic",0
"2939","vigor framework",0
"2940","vike lander",0
"2941","violat uniform",0
"2942","violencenor like",0
"2943","visit anoth",0
"2944","volunt bring",0
"2945","voteit critic",0
"2946","voucher appear",0
"2947","voyag 1",0
"2948","voyag 2",0
"2949","war completedincreas",0
"2950","war vessel",0
"2951","warmoreov intellig",0
"2952","warn 10",0
"2953","way jri",0
"2954","wednesday submit",0
"2955","wellbeingset morecompetit",0
"2956","went vice",0
"2957","whether nyc",0
"2958","wholli success",0
"2959","wide denial",0
"2960","widespread imprison",0
"2961","within 7750",0
"2962","within contest",0
"2963","work donkey",0
"2964","world lilliputian",0
"2965","worth 78",0
"2966","worth texasdo",0
"2967","wright special",0
"2968","wrote realiti",0
"2969","yearno mere",0
"2970","yet againfortun",0
"2971","york plan",0
"2972","zelenski trump",0
"2973","zubaydah ramzi",0
"2974","2009 www",0.0001
"2975","break worker",0.0001
"2976","coverag addict",0.0001
"2977","dedic protest",0.0001
"2978","er carri",0.0001
"2979","program transport",0.0001
"2980","push procedur",0.0001
"2981","recommend contrast",0.0001
"2982","cia feder",0.0002
"2983","crimin honest",0.0002
"2984","march show",0.0002
"2985","pound meaning",0.0002
"2986","project plagu",0.0002
"2987","interest bed",0.0003
"2988","caus know",0.0004
"2989","holder arizona",0.0004
"2990","develop immigr",0.0005
"2991","download download",0.0005
"2992","pennsylvania share",0.0005
"2993","yearcongress also",0.0005
"2994","oversea manhattan",0.0006
"2995","paid labor",0.0011
"2996","precis hes",0.0011
"2997","among pay",0.0014
"2998","color better",0.0015
"2999","katherin gallagh",0.0015
"3000","caucus pogo",0.0016
"3001","ethnic matter",0.0018
"3002","deport mother",0.0019
"3003","chris cillizza",0.002
"3004","law court",0.0023
"3005","research fellow",0.0024
"3006","dollar male",0.0026
"3007","topic foreign",0.0029
"3008","caution effort",0.003
"3009","allow dramat",0.0034
"3010","amnesia presid",0.0034
"3011","run iraq",0.0034
"3012","event particular",0.0037
"3013","just behind",0.0037
"3014","limb state",0.0037
"3015","polici studi",0.0039
"3016","present thought",0.0039
"3017","analysi structur",0.0044
"3018","expens disast",0.0044
"3019","progress think",0.0044
"3020","syria clear",0.0045
"3021","even thisar",0.0047
"3022","tough fair",0.0049
"3023","coalit green",0.005
"3024","govern polit",0.0051
"3025","progress action",0.0052
"3026","million mean",0.0053
"3027","2015 propos",0.0057
"3028","cato institut",0.0057
"3029","gather courag",0.0058
"3030","articl appear",0.0063
"3031","origin appear",0.0063
"3032","simon center",0.0063
"3033","ambit iraq",0.0064
"3034","progress rebecca",0.0064
"3035","reform gyeongju",0.0065
"3036","heritag foundat",0.0067
"3037","amount write",0.007
"3038","feder appropri",0.0071
"3039","line earli",0.0071
"3040","amid sea",0.0073
"3041","averag obvious",0.0074
"3042","among terroriststher",0.0075
"3043","black boy",0.0084
"3044","appear npr s",0.0087
"3045","analyst hous",0.0088
"3046","appar either",0.0088
"3047","relianc coal",0.0089
"3048","aren t bigger",0.009
"3049","anticip net",0.0093
"3050","american wyden",0.0094
"3051","anachron sen",0.0094
"3052","antiqu compens",0.0095
"3053","senat failur",0.0099
"3054","amnesti dueto",0.0101
"3055","amount 2009",0.0101
"3056","impact drill",0.0101
"3057","school meanwhil",0.0102
"3058","first enrol",0.0105
"3059","liber center",0.0105
"3060","effect recommend",0.0106
"3061","growth project",0.0108
"3062","cost top",0.011
"3063","door power",0.0111
